player_id,gsis_id,name,position,pro_team
3917792,00-0035710,Daniel Jones,,
3917914,00-0035208,Olamide Zaccheaus,,
3918298,00-0034857,Josh Allen,,
3921690,00-0035249,Josh Oliver,,
3924327,00-0035704,Drew Lock,,
3925357,00-0034837,Calvin Ridley,,
3926231,00-0037132,Britain Covey,,
3929630,00-0034844,Saquon Barkley,,
3929645,00-0036040,Juwan Johnson,,
3929785,00-0036182,Nick Westbrook-Ikhine,,
3929914,00-0036727,Adam Prentice,,
3930066,00-0036415,Van Jefferson,,
3930086,00-0035689,Dawson Knox,,
3953687,00-0037692,Brandon Aubrey,,
3975763,00-0034450,Greg Joseph,,
4012556,00-0032918,C.J. Ham,,
4032473,00-0037545,Rashid Shaheed,,
4034704,00-0036959,Michael Bandy,,
4034779,00-0037311,Ko Kieft,,
4034862,00-0036741,Jack Stoll,,
4034949,00-0034173,Eddy Pineiro,,
4035004,00-0035140,Mecole Hardman Jr.,,
4035020,00-0036429,Charlie Woerner,,
4035115,00-0036423,Albert Okwuegbunam Jr.,,
4035537,00-0036842,Kene Nwangwu,,
4035538,00-0035685,David Montgomery,,
4035656,00-0036862,Ben Skowronek,,
4035671,00-0035993,Tyler Huntley,,
4035687,00-0036252,Michael Pittman Jr.,,
4035693,00-0037745,Velus Jones Jr.,,
4036032,00-0037329,Brittain Brown,,
4036131,00-0035644,Noah Fant,,
4036133,00-0035229,T.J. Hockenson,,
4036335,00-0034418,Cedrick Wilson Jr.,,
4036378,00-0036264,Jordan Love,,
4036419,00-0037327,Skylar Thompson,,
4037235,00-0035500,Greg Dortch,,
4037457,00-0035594,Travis Homer,,
4038441,00-0034975,Justice Hill,,
4038524,00-0035289,Gardner Minshew II,,
4038815,00-0036139,Rico Dowdle,,
4038941,00-0036355,Justin Herbert,,
4039050,00-0036331,Devin Duvernay,,
4039057,00-0035406,Lil'Jordan Humphrey,,
4039358,00-0035973,Patrick Taylor Jr.,,
4039505,00-0036187,Reggie Gilliam,,
4040612,00-0036887,Luke Farrell,,
4040655,00-0036309,Darnell Mooney,,
4040715,00-0036389,Jalen Hurts,,
4040761,00-0035250,Devin Singletary,,
4044111,00-0037324,Chris Oladokun,,
4045163,00-0035243,Miles Sanders,,
4045305,00-0034365,Ian Thomas,,
4047365,00-0035700,Josh Jacobs,,
4047646,00-0035676,A.J. Brown,,
